"Normalized food expenditures by final purchasers and users, from previously-published estimates",Table 6. Normalized Food Expenditures by Final Purchasers and Users,Table 6. Normalized Food Expenditures by Final Purchasers and Users,Table 6. Normalized Food Expenditures by Final Purchasers and Users,Table 6. Normalized Food Expenditures by Final Purchasers and Users,Table 6. Normalized Food Expenditures by Final Purchasers and Users,Table 6. Normalized Food Expenditures by Final Purchasers and Users,Table 6. Normalized Food Expenditures by Final Purchasers and Users,Table 6. Normalized Food Expenditures by Final Purchasers and Users,Table 6. Normalized Food Expenditures by Final Purchasers and Users,Table 6. Normalized Food Expenditures by Final Purchasers and Users,Table 6. Normalized Food Expenditures by Final Purchasers and Users,Table 6. Normalized Food Expenditures by Final Purchasers and Users,Table 6. Normalized Food Expenditures by Final Purchasers and Users
[Millions of dollars],[Millions of Dollars],[Millions of Dollars],[Millions of Dollars],[Millions of Dollars],[Millions of Dollars],[Millions of Dollars],[Millions of Dollars],[Millions of Dollars],[Millions of Dollars],[Millions of Dollars],[Millions of Dollars],[Millions of Dollars],[Millions of Dollars]
Year,Household final users,Household Final Users,Household Final Users,Household Final Users,Household Final Users,All purchasers,All Purchasers,All Purchasers,All Purchasers,All Purchasers,All Purchasers,All Purchasers,All Purchasers
Year,Food expenditure share of disposable personal income (DPI)1,Food Expenditure Share of Disposable Personal Income (DPI),Food Expenditure Share of Disposable Personal Income (DPI),Share of food expenditures2,Shares of Food Expenditures,Share of food expenditures2,Share of Food Expenditures,Nominal expenditure per capita3,Nominal Expenditure per Capita,Nominal Expenditure per Capita,Constant dollar expenditure per capita (1988=100)3,Constant Dollar Expenditure per Capita (1988=100),Constant Dollar Expenditure per Capita (1988=100)
Year,Food Expenditure Share of Disposable Personal Income (DPI),Food Expenditure Share of Disposable Personal Income (DPI),Food Expenditure Share of Disposable Personal Income (DPI),Shares of Food Expenditures,Shares of Food Expenditures,Share of Food Expenditures,Share of Food Expenditures,Nominal Expenditure per Capita,Nominal Expenditure per Capita,Nominal Expenditure per Capita,Constant Dollar Expenditure per Capita (1988=100),Constant Dollar Expenditure per Capita (1988=100),Constant Dollar Expenditure per Capita (1988=100)
Year,FAH,FAFH,All food,FAH,FAFH,FAH,FAFH,FAH,FAFH,All food,FAH,FAFH,All food
1929,20.26,3.13,23.40,--,--,--,--,--,--,--,--,--,--
1930,21.09,3.07,24.17,--,--,--,--,--,--,--,--,--,--
1931,19.66,3.25,22.91,--,--,--,--,--,--,--,--,--,--
1932,19.39,3.43,22.83,--,--,--,--,--,--,--,--,--,--
1933,21.77,3.23,25.00,--,--,--,--,--,--,--,--,--,--
1934,20.86,3.20,24.06,--,--,--,--,--,--,--,--,--,--
1935,20.23,3.01,23.24,--,--,--,--,--,--,--,--,--,--
1936,18.70,2.95,21.65,--,--,--,--,--,--,--,--,--,--
1937,18.27,3.02,21.29,--,--,--,--,--,--,--,--,--,--
1938,18.75,3.13,21.88,--,--,--,--,--,--,--,--,--,--
1939,17.96,3.17,21.14,--,--,--,--,--,--,--,--,--,--
1940,17.37,3.09,20.46,--,--,--,--,--,--,--,--,--,--
1941,16.01,3.03,19.05,--,--,--,--,--,--,--,--,--,--
